city,state,NumberOfReviews
,EDH,4
"110 Las Vegas",NV,43
Aberdour,FIF,2
Aberlady,ELN,6
AGINCOURT,ON,5
Ahwahtukee,AZ,9
Ahwatukee,AZ,583
"Ahwatukee Foothills Village",AZ,4
Aichwald,BW,4
Ajax,ON,1725
Alburg,VT,4
Alburgh,VT,2
Alex,30,2
Allegheny,PA,5
"Allison Park",PA,616
Ambridge,PA,267
Amherst,OH,661
Anjou,QC,76
Ansnorveldt,ON,7
Anthem,AZ,863
Argos,IN,19
Arlington,WI,3
Arnold,PA,46
Arrowhead,AZ,8
Ashburn,ON,5
Aspinwall,PA,150
Auburn,OH,2
"Auburn Township",OH,13
"Auburn Twp",OH,5
Aurora,OH,980
Aurora,ON,1502
Avalon,PA,48
Avon,OH,1995
"Avon Lake",OH,1048
Avondale,AZ,11246
Baie-D'urfe,QC,11
Bainbridge,OH,83
"Bainbridge Township",OH,8
Baldwin,PA,25
Balerno,MLN,3
Ballantyne,NC,13
Banksville,PA,3
Bath,OH,53
"Bay Village",OH,326
Beachwood,OH,2950
Beaconsfield,QC,41
Beauharnois,QC,4
Bedford,OH,612
Bedford,QC,1
"Bedford Heights",OH,133
"Bedford HTS",OH,12
"Bedford Hts.",OH,5
Beeton,ON,16
Belleville,WI,120
Bellevue,PA,372
Bellvue,PA,16
Belmont,NC,1593
Beloeil,QC,22
"Ben Avon",PA,29
Bentleyville,OH,1
Berea,OH,1271
Berg,BW,6
Bernhausen,BW,25
Berry,WI,5
"Bethel Park",PA,1343
"Black Earth",WI,55
Blackness,FAL,4
Blainville,QC,19
Blawnox,PA,20
Bloomfield,PA,4
"Blue Diamond",NV,299
Böblingen,BW,877
Böblingen,SL,1
Bois-Des-Filion,QC,2
Boisbriand,QC,46
Bolton,ON,147
"Bond Head",ON,2
Bonnyrigg,MLN,6
Bonnyrigg,SCB,6
"Bonnyrigg and Lasswade",MLN,4
Boston,PA,1
"Boston Heights",OH,14
Boucherville,QC,101
"Boulder City",NV,5719
Braddock,PA,167
Bradford,ON,122
"Bradford West Gwillimbury",ON,93
Bradfordwoods,PA,6
Brampton,CMA,8
Brampton,ON,6348
Bratenahl,OH,31
Brecksville,OH,719
Brentwood,PA,85
Brettin,ST,3
Bridgeville,PA,1699
Broadlands,IL,3
"Broadview Heights",OH,941
"Broadview Hts",OH,21
"Brook Park",OH,367
Brooklin,ON,39
Brookline,PA,60
Brooklyn,OH,824
Brooklyn,WI,18
"Brooklyn Heights",OH,11
"Brooklyn Hts.",OH,5
Brookpark,OH,99
Brossard,QC,943
Broxburn,WLN,3
Brunswick,OH,1050
"Brunswick Hills",OH,13
Bruntsfield,EDH,3
"Buckeye - Shaker",OH,4
"Buena Vista",PA,6
Burntisland,FIF,5
Burton,OH,218
"C Las Vegas",NV,25
Caledon,ON,134
"Caledon East",ON,25
"Caledon Village",ON,1
Camargo,IL,1
Candiac,QC,2
Canonsburd,PA,4
Canonsburg,PA,1223
"Canyon Village",AZ,1
Carefree,AZ,1190
Carnegie,PA,1230
Casablanca,VS,11
"Castle Shannon",PA,53
"Cave Creek",AZ,6685
Cecil,PA,142
"Centennial Hills",NV,31
"Central City",AZ,6
"Central City Village",AZ,23
"Central Henderson",NV,22
"Centre Island",ON,3
"Chagrin Falls",OH,1764
"Chagrin Highlands",OH,3
Chambly,QC,48
Champaign,IL,17805
Champlain,NY,43
Chander,AZ,3
Chandler,AK,13
Chandler,AZ,82667
Chandler-Gilbert,AZ,7
Char,NC,6
Chardon,OH,429
Charlemagne,QC,2
Charlote,NC,4
Charlotte,NC,160090
"Charlotte (University)",NC,14
"Charlotte NC",NC,2
Chatauguay,QC,3
Chateau,PA,3
Chateauguay,QC,65
Chertsey,QC,3
Chester,CHE,454
"Chester Township",OH,42
"Chester, UK",CHE,5
Chesterland,OH,625
Cheswick,PA,83
"Chomedey, Laval",QC,3
Churubusco,NY,6
Citibank,NV,1
"CITY CENTER",NV,19
"City of Edinburgh",EDH,15
Clairton,PA,91
Claremont,ON,4
Clark,NV,159
"Clark County",NV,44
Clarkson,ON,8
Cleveland,OH,62423
"Cleveland Heights",OH,4691
"Cleveland Hghts.",OH,18
Clinton,PA,48
"columbia station",OH,106
Communauté-Urbaine-de-Montréal,QC,12
Concord,NC,8228
Concord,OH,130
Concord,ON,899
"Concord Mills",NC,189
"Concord Township",OH,2
"Concord Twp",OH,6
"Concord Twp.",OH,1
Cooksville,ON,5
Copley,OH,248
Coraopolis,PA,1715
Cornelius,NC,4688
"Cote Saint-Luc",QC,11
Cote-Saint-Luc,QC,16
"Cottage Grove",WI,221
Cowdenbeath,FIF,3
Crafton,PA,90
Cramerton,NC,241
Cramond,EDH,6
Creighton,PA,12
Crescent,PA,5
"Cross Plains",WI,208
Cuddy,PA,8
Currie,EDH,4
"Cuyahoga Falls",OH,3349
"Cuyahoga Fls",OH,9
"Cuyahoga Heights",OH,15
"Dalgety Bay",FIF,3
Dalkeith,MLN,49
Dallas,NC,131
Dane,WI,13
Davidson,NC,1738
"De Forest",WI,177
DeForest,WI,249
Delson,QC,25
Denkendorf,BW,15
Denkendorf,BY,5
"Desert Ridge",AZ,5
"Deux-Montagnes Regional County Municipality",QC,7
Dewey,IL,2
Ditzingen,BW,84
"Dollard-Des Ormeaux",QC,31
Dollard-Des-Ormeaux,QC,721
"Don Mills",ON,76
Dormont,PA,59
Dorval,QC,789
Downsview,ON,19
Downtown,PA,58
"Downtown Toronto",ON,14
Dravosburg,PA,43
Dudley,ABE,9
Dunfermline,FIF,111
Duquesne,PA,27
"East Ajax",ON,13
"East Cleveland",OH,24
"East Credit",ON,4
"East Gwilimbury",ON,3
"East Gwillimbury",ON,124
"East Liberty",PA,36
"East Loth",ELN,3
"East Lothian",ELN,10
"East Mc Keesport",PA,13
"East McKeesport",PA,8
"East Mesa",AZ,7
"East Mississauga",ON,10
"East Pittsburgh",PA,28
"East York",ON,1102
Eastlake,OH,440
Edgewood,PA,17
Edgeworth,PA,1
Edimbourg,EDH,2
Edinburgh,EDH,31816
Edinburgh,ELN,5
Edinburgh,FIF,5
Edinburgh,GLG,1
Edinburgh,KHL,5
Edinburgh,MLN,1076
Edinburgh,NTH,14
Edinburgh,PKN,18
Edinburgh,SCB,5
Edinburgh,XGL,23
Edinburgh,ZET,2
"Edinburgh City of",EDH,4
"El Mirage",AZ,884
Elizabeth,PA,153
"Elk Grove Villa",IL,30
Elrama,PA,17
Elyria,OH,971
Emsworth,PA,63
Enterprise,NV,190
Essex,PA,34
Esslingen,BW,700
"Esslingen am Neckar",BW,120
Estérel,QC,13
"Estrella Village",AZ,4
Etna,PA,85
Etobicoke,ON,6842
"Etobicoke On",ON,2
Etobiicoke,ON,9
Euclid,OH,521
Fabreville,QC,4
Fairlawn,OH,1398
"Fairport Harbor",OH,77
Fairview,NC,212
"Fairview Park",OH,1188
Farnham,QC,7
Fellbach,BW,496
Filderstadt,BW,297
Finleyville,PA,78
"Firth of Forth",EDH,13
Fisher,IL,2
Fitchburg,WI,2429
Fitchburgh,WI,2
Fithian,IL,3
"Forest Grove",PA,5
"Forest Hills",PA,37
"Fort  Mill",SC,37
"Fort McDowell",AZ,233
"Fort Mill",NC,6
"Fort Mill",SC,5711
"Fountain Hills",AZ,3721
"Fountain Hls",AZ,3
Fountainbridge,EDH,5
"Franklin Park",PA,8
Frazer,PA,527
Freiberg,BW,4
Freyburg,ST,30
"Ft. Mill",SC,43
Fullerton,NV,8
"Garfield Heights",OH,218
"Garfield hts",OH,3
Gastonia,NC,3637
"Gates Mills",OH,42
Geauga,OH,11
Gelndale,AZ,7
"George Town",CHE,3
Georgetown,ON,212
Gerlingen,BW,105
Gibsonia,PA,715
Gifford,IL,8
Gilbert,AZ,65565
"Gilbert AZ",AZ,4
Gillbert,AZ,3
Glasgow,EDH,11
Glassport,PA,22
Glbert,AZ,2
"Glen Williams",ON,5
Glendale,AZ,51485
"Glendale Az",AZ,59
Glenrothes,FIF,22
Glenshaw,PA,352
Godmanchester,QC,3
Goodwood,ON,19
Goodyear,AZ,14474
"Goodyear AZ",AZ,2
Gorebridge,MLN,10
Gormley,ON,31
Grafton,OH,98
"Grand River",OH,146
"Green Tree",PA,55
"Green Valley",NV,9
"Greenfield Park",QC,79
Guadalupe,AZ,293
Gullane,ELN,18
Haddington,ELN,20
"Hampton Township",PA,107
"Harmar Township",PA,2
Harmarville,PA,20
Harrisbug,NC,17
Harrisburg,NC,923
"Harrisburg,",NC,5
"Harrison City",PA,70
Harwick,PA,7
Haus,6,7
Hawthorne,WI,5
Hazelwood,PA,2
Heidelberg,PA,85
Hemmingen,BW,16
Hemmingen,NI,51
Hemmingford,QC,3
Henderson,AZ,2
Henderson,NV,112525
Henderson,VA,2
"Henderson (Green Valley)",NV,26
"Henderson and Las vegas",NV,4
"Henderson Nevada",,7
Hendersonville,PA,9
Henderston,NV,33
Hendserson,NV,8
Herminie,PA,17
"Highland Heights",OH,542
"Highland Hills",OH,5
Higley,AZ,314
Hinckley,OH,87
Hiram,OH,16
Hochdorf,BW,11
"Holland Landing",ON,8
Homer,IL,19
Homestead,PA,1993
Hornby,ON,2
Houston,PA,49
Houston,WA,4
Hudson,OH,2032
Hudson,QC,49
Huntersville,NC,7918
Huntingdon,QC,4
Huntsburg,OH,5
"Île des Soeurs",QC,30
Île-des-Soeurs,QC,4
Imperial,PA,99
Independence,OH,2249
"Indian land",NC,8
"Indian Land",SC,550
"Indian Land,",SC,3
"Indian Lands",SC,12
"Indian Trail",NC,2085
"Indian Trail",OH,4
Indianola,PA,5
Inglewood,ON,6
Ingliston,EDH,11
Ingomar,PA,3
Ingram,PA,3
Inverkeithing,FIF,8
Inverness,HLD,897
Irwin,PA,761
"Jefferson Hills",PA,37
Joliette,QC,13
"Juniper Green",EDH,9
Kahnawake,QC,9
Kannapolis,NC,888
"Kennedy Township",PA,19
Kent,OH,2823
Kernen,BW,33
"Kernen im Remstal",BW,15
Kernen-Stetten,BW,2
Kettleby,ON,3
King,ON,25
"King City",ON,118
Kingussie,HLD,7
Kirkcaldy,FIF,54
Kirkland,QC,163
Kirknewton,WLN,6
Kirtland,OH,176
Kleinburg,ON,58
Korntal-Münchingen,BW,35
Kornwestheim,BW,120
L'assomption,QC,2
L'ile-Bizard,QC,17
L'Île-Perrot,QC,139
"La Baie",QC,9
"La Prairie",QC,63
"La Salle",QC,23
Lachenaie,QC,5
Lachine,QC,209
Lachute,QC,13
Lacolle,QC,3
Lagrange,OH,28
"Lake Las Vegas",NV,5
"Lake Norman",NC,5
"Lake Park",NC,3
"Lake Wylie",SC,478
Lakewood,OH,9879
"Lakewood Oh",OH,3
"Lakewood, Oh",OH,9
Lambton,ON,5
"Las  Vegas",NV,250
"Las Vegas",AZ,5
"Las Vegas",CA,16
"Las Vegas",FL,359
"Las Vegas",GA,2
"Las Vegas",MN,3
"Las Vegas",NC,2
"Las Vegas",NE,3
"Las Vegas",NV,1082227
"Las Vegas",TAM,10
"Las Vegas & Henderson",NV,23
"Las Vegas East",NV,16
"Las Vegas Nevada",NV,1
"Las Vegas,",NV,6
"Las Vegas, NV",NV,5
"Las Vegass",NV,3
Lasalle,QC,358
Lasswade,MLN,32
LasVegas,NV,114
Lauder,SCB,4
Laval,QC,1839
"Laval, Ste Dorothee",QC,3
Lavaltrie,QC,2
Laveen,AZ,1581
"Laveen Village",AZ,130
Lawrence,PA,10
"Le Haut-Saint-Laurent Regional County Municipality",QC,2
"Le Sud-Ouest",QC,10
Leaside,ON,3
Leetsdale,PA,120
Leinfelden,BW,1
Leinfelden-Echterdingen,BW,472
Leith,EDH,61
Leonberg,BW,203
Leonberg,BY,3
"Les Coteaux",QC,2
Leslieville,ON,3
Leven,FIF,8
Liberty,PA,7
Library,PA,27
Linden,PA,6
Lingen,DE,3
Litchfield,AZ,17
Litchfield,OH,9
"Litchfield Park",AZ,3573
Livingston,NLK,2
Livingston,WLN,118
Livingstone,EDH,3
Loanhead,EDH,2
Loanhead,MLN,24
London,EDH,2
Longniddry,ELN,1
Longstone,EDH,3
Longueuil,QC,234
Lorain,OH,532
Lowell,NC,140
"Lower Burrell",PA,81
"Lower Lawrenceville",PA,191
Lowesville,NC,24
Lübeck,BW,2
Ludwigsburg,BW,1490
Lyndhurst,OH,1644
M7,BW,21
Macedonia,OH,830
Madison,WI,58444
Mahomet,IL,243
"Main Street",CO,4
Malton,ON,3
Mansfield,IL,4
Mantua,OH,51
Maple,ON,334
"Maple Grove",QC,3
"Maple Heights",OH,131
"Maricopa County",AZ,3
Markham,ON,26380
Marvin,NC,5
Mascouche,QC,14
Massey,ON,3
Mathews,NC,3
Mattews,NC,4
Matthews,NC,7839
Mayfield,OH,185
"Mayfield Heights",OH,1317
"Mayfield Heights (Cleveland)",OH,15
"Mayfield Heights.",OH,4
"Mayfield Hts",OH,1
"Mayfield Hts.",OH,2
"Mayfield Village",OH,164
"Mc Adenville",NC,1
"Mc Donald",PA,18
"Mc Farland",WI,162
"Mc Kees Rocks",PA,228
"Mc Murray",PA,62
McAdenville,NC,20
McCandless,PA,32
"McCandless Township",PA,71
McDonald,PA,10
McFarland,WI,223
"McKees Rocks",PA,426
McKeesport,PA,239
McKnight,PA,15
McMasterville,QC,3
McMurray,PA,749
McMurry,PA,8
Median,OH,10
Medina,OH,2379
"Medina Township",OH,25
Mentor,OH,3487
"Mentor On the",OH,22
"Mentor On the Lake",OH,40
Mentor-on-the-Lake,OH,143
Mercier,QC,9
Mesa,AR,9
Mesa,AZ,90259
"Mesa Arizona",AZ,5
"Mesa AZ",AZ,7
Meza,AZ,19
Midddleton,WI,1
Middleburg,OH,2
"Middleburg Heights",OH,1013
"Middleburg Hts",OH,30
"Middleburg Hts.",OH,6
Middlefield,OH,192
Middleton,WI,4590
Midland,NC,85
Midlothian,EDH,31
Midlothian,MLN,13
Millvale,PA,116
"Mint  Hill",NC,41
"Mint Hill",NC,755
Mirabel,QC,21
Missisauga,ON,294
Mississauaga,ON,2
Mississauga,ON,29139
Mississuaga,ON,10
Möglingen,BW,20
Mohamet,IL,5
Moneroeville,PA,4
Monona,WI,1361
Monongahela,PA,98
Monoroeville,PA,14
Monreoville,PA,7
Monroeville,PA,3519
"Monroeville - Pit.",PA,6
"Mont St-hilaire",QC,3
Mont-Royal,QC,137
Mont-Saint-Gregoire,QC,15
Mont-Saint-Hilaire,QC,24
Montéal,QC,7
Monticello,IL,166
Montral,QC,8
Montreal,CA,3
Montréal,QC,86270
"Montréal (Québec)",QC,5
Montreal-Nord,QC,46
Montreal-Ouest,QC,41
Montreal-Quest,QC,2
Montreal-West,QC,15
Montrose,OH,68
Mooers,NY,5
Moon,PA,103
"Moon Township",PA,506
"Moon Twp",PA,21
"Moreland Hills",OH,173
Morgan,PA,5
Morin-Heights,QC,16
Moss,01,24
"Mount Albert",ON,25
"Mount Holly",NC,336
"Mount Horeb",WI,456
"Mount Laurel",NV,7
"Mount Lebanon",PA,351
"Mount Mourne",NC,3
"Mount Royal",QC,3
"Mount Washington",PA,15
"Mt Albert",ON,6
"Mt Lebanon",PA,70
"Mt. Horeb",WI,7
"Mt. Lebanon",PA,214
"Mt. Oliver Boro",PA,3
"Mt. Washington",PA,2
Munhall,PA,195
"Municipality of Murrysville",PA,2
"Munroe Falls",OH,139
Münster,BW,3
Murrysville,PA,812
"Murrysville (Monroeville)",PA,7
Musselburgh,ELN,83
Musselburgh,MLN,8
"N E Las Vegas",NV,13
"N Las Vegas",NV,240
"N Ridgeville",OH,8
"N Royalton",OH,3
"N W Las Vegas",NV,38
"N. Las Vegas",NV,254
"N. OLMSTED",OH,13
"N. Randall",OH,5
"N. Ridgeville",OH,7
Napierville,QC,4
"National City",NV,2
Nellis,NV,3
"Nellis AFB",NV,126
"Nellis Air Force Base",NV,6
Neuhausen,BW,38
"Neville Island",PA,24
"New Eagle",PA,19
"New Kensington",PA,466
"New Town",EDH,43
Newbridge,EDH,23
"Newburgh Heights",OH,4
Newbury,OH,112
Newhaven,EDH,6
Newhaven,ESX,34
Newington,EDH,7
Newmarket,ON,2188
Nobleton,ON,48
Nord,BW,7
"North Braddock",PA,3
"North Huntingdon",PA,423
"North Huntington",PA,11
"North Las Vegas",AL,9
"North Las Vegas",NV,25641
"North Las Vegas",NY,6
"North of Brampton",ON,15
"North Olmstead",OH,33
"North Olmsted",OH,3570
"North Olmsted,",OH,4
"North Queensferry",FIF,17
"North Randall",OH,126
"North Ridgeville",OH,592
"North Royalton",OH,879
"North Scottsdale",AZ,9
"North Toronto",ON,14
"North Versailles",PA,244
"North York",ON,11112
Northbrook,ON,3
Northfield,OH,723
"Northfield Center",OH,9
"Northfield Center Township",OH,8
Northside,PA,7
NorthYork,ON,3
Norval,ON,4
Notre-Dame-De-L'ile-Perrot,QC,15
Nottingham,PA,99
Novelty,OH,12
Noyan,QC,6
"Oak Ridges",ON,5
Oakdale,PA,206
Oakland,PA,58
Oakmont,PA,553
Oakridges,ON,3
Oakville,ON,4907
Oakwood,IL,21
"Oakwood Village",OH,19
Ogden,IL,21
Oka,QC,10
"Old Brooklyn",OH,3
"Old Port of Montreal",QC,3
"Old Scottsdale",AZ,3
"Old Town",EDH,34
"Old Town Scottsdale",AZ,2
Olivos,C,134
"Olmsted Falls",OH,532
"Olmsted Township",OH,36
Onda,CS,2
Orange,OH,35
"Orange Village",OH,309
Oregon,WI,461
Ormstown,QC,6
Ostfildern,BW,183
Oßweil,BW,2
"Otterburn Park",QC,2
Outremont,QC,414
Painesville,OH,768
Palgrave,ON,2
Palmerston,ON,2
Paoli,WI,35
Paradise,NV,319
"Paradise Valley",AZ,2829
Parma,OH,2895
"Parma Heights",OH,495
"Paw Creek",NC,2
Pencaitland,ELN,4
Penicuik,MLN,38
Penicuik,SCB,3
Peninsula,OH,400
"Penn Hills",PA,110
Peoria,AZ,28713
"Peoria Ave Citizen's Group",AZ,1
"Pepper Pike",OH,230
"Peters Township",PA,43
"Pgh Int Arprt",PA,2
Pheonix,AZ,92
"Pheonix AZ",AZ,7
Philo,IL,14
Phoeniix,AZ,2
Phoenix,AZ,388576
"Phoenix AZ",AZ,2
"Phoenix metro area",AZ,11
"Phoenix Valley",AZ,4
"Phoenix,",AZ,12
"Phoenix, AZ",AZ,17
Phoneix,AZ,5
Phoniex,AZ,2
Phx,AZ,7
Pickering,ON,1941
"Pickering Ajax Whitby",ON,2
Piedmont,QC,6
Pierrefonds,QC,212
Pilton,NTH,2
Pincourt,QC,6
Pine,PA,12
Pineville,NC,3660
Pitcairn,PA,11
Pittsburch,PA,3
Pittsburg,PA,20
Pittsburgh,CA,7
Pittsburgh,PA,121106
Plan,HU,3
"Pleasant Hills",PA,348
Plieningen,BW,5
Plum,PA,100
"Point Claire",QC,3
"Pointe Claire",QC,14
Pointe-Aux-Trembles,QC,11
Pointe-Claire,QC,575
"Port Credit",ON,72
Portobello,EDH,17
Presto,PA,46
Prestonpans,ELN,6
Prévost,QC,5
Promenade,NC,10
Quartermile,EDH,9
Queensferry,EDH,29
Queensferry,FLN,8
Queensville,ON,2
"Rainbow Valley",AZ,3
Rankin,PA,8
Ranlo,NC,16
Rantoul,IL,220
Ratho,EDH,19
Rawdon,QC,10
"Regent Square",PA,6
"Regional Municipality of York",ON,11
Reminderville,OH,6
Remseck,BW,33
"Remseck am Neckar",BW,15
Repentigny,QC,11
Rexdale,ON,109
Richfield,OH,357
"Richland Township",PA,3
"Richmond Height",OH,2
"Richmond Heights",OH,223
"Richmond Hil",ON,48
"Richmond Hill",ON,12322
"Richmond Hts",OH,21
Ridgeville,ON,1
Rigaud,QC,23
Rillton,PA,9
"River Drive Park",ON,8
Robinson,PA,154
"Robinson Town",PA,10
"Robinson Township",PA,288
"Robinson Twp.",PA,57
"Rocky River",OH,3666
Roosevelt,AZ,52
Rosemère,QC,69
Roslin,MLN,3
Ross,PA,4
"Ross Township",PA,144
"Rouses Point",NY,36
Roxboro,QC,9
Royal,IL,2
"Rural Ridge",PA,8
Russell,OH,4
"Russell Twp",OH,7
Russellton,PA,26
"S Concord",NC,4
"Sagamore Hills",OH,28
"Saint - Hyacinthe",QC,3
"Saint Joseph",IL,57
"Saint Laurent",QC,24
"Saint Leonard",QC,3
Saint-Bernard-de-Lacolle,QC,18
Saint-Bruno,QC,8
Saint-Bruno-de-Montarville,QC,8
Saint-Charles-Borromee,QC,4
Saint-Constant,QC,19
Saint-Eustache,QC,37
Saint-Henri,QC,17
Saint-Hippolyte,QC,4
Saint-Hubert,QC,73
Saint-Hyacinthe,QC,30
Saint-Isidore-De-Laprairie,QC,4
Saint-Jean-sur-Richelieu,QC,79
Saint-Jerome,QC,66
Saint-Lambert,QC,82
Saint-Laurent,QC,771
Saint-Lazare,QC,20
Saint-Leonard,QC,153
Saint-Marc-Sur-Richelieu,QC,8
Saint-Paul,QC,3
Saint-Philippe,QC,9
Saint-Pie,QC,3
Saint-Pierre-de-Véronne-à-Pike-River,QC,3
Saint-Roch-De-L'achigan,QC,1
Saint-Sauveur,QC,231
Saint-sauveur,WHT,4
Saint-Sauveur-des-Monts,QC,16
Sainte-Adele,QC,39
Sainte-Anne-de-Bellevue,QC,105
Sainte-Anne-des-Plaines,QC,4
Sainte-Catherine,QC,6
Sainte-Dorothée,QC,2
Sainte-Genevieve,QC,12
Sainte-Julie,QC,44
Sainte-Madeleine,QC,3
Sainte-Marguerite-du-Lac-Masson,QC,2
Sainte-Marie,QC,3
Sainte-Marthe,QC,1
Sainte-Rose,QC,2
Sainte-Thérèse,QC,29
Sainte-Thérèse-de-Blainville,QC,7
Salaberry-De-Valleyfield,QC,17
"San Rafael",SC,140
"San Tan",AZ,4
"San Tan Valley",AZ,692
Savoy,IL,603
Scarborough,NYK,315
Scarborough,ON,9927
"Scarborough,",ON,2
Scarbrough,ON,3
Scaroborough,ON,29
Scarobrough,ON,10
Schomberg,ON,27
Schönaich,BW,47
Schottsdale,AZ,5
Schwaikheim,BW,8
Schwieberdingen,BW,35
Scotesdale,AZ,1
Scotland,EDH,2
Scotland,ELN,4
Scotland,GLG,47
"Scott Township",PA,5
Scottdale,AZ,356
Scottsdale,AR,12
Scottsdale,AZ,207719
"Scottsdale, AZ",AZ,11
"Seven Hills",OH,373
Sewickley,PA,949
"Shady Side",PA,5
Shadyside,PA,46
"Shaker Heights",OH,459
"Shaker Hts",OH,7
Shaler,PA,2
"Shaler Township",PA,28
Shandwick,EDH,3
Sharpsburg,PA,120
Sheffield,OH,62
"Sheffield Lake",OH,47
"Sheffield Village",OH,176
"Shorewood Hills",WI,27
"Side Slopes",PA,4
Sidney,IL,14
"Silver Lake",OH,8
Sindelfingen,BW,810
Sindelfingen/Eichholz,BW,4
Sloan,NV,202
Solon,OH,2203
"South Amherst",OH,7
"South Euclid",OH,712
"South Gyle",EDH,4
"South Hills",PA,6
"South Las Vegas",NV,371
"South Park",PA,76
"South Park Township",PA,72
"South Queensferry",EDH,58
"South Queensferry",XGL,10
"Southside Flats",PA,3
Spa,KY,3
"Spring Hill City View",PA,3
"Spring Valley",NV,828
Springbrook,ON,2
Springdale,PA,156
Springfield,WI,2
"Squirrel Hill",PA,40
"St Davids",ON,48
"St Joseph",IL,22
"St Leonard",QC,2
"St-Benoît de Mirabel",QC,41
St-Bruno-de-Montarville,QC,8
St-Clet,QC,3
St-Eugène,ON,2
St-Jean-sur-Richelieu,QC,3
St-Jerome,QC,17
St-Laurent,QC,3
St-Lazare,QC,3
St-Lazare-de-Vaudreuil,QC,4
St-Leonard,QC,11
"St. Jean Sur Richelieu",QC,3
"St. Peters",MT,8
Stallings,NC,302
Stanley,NC,86
Statesville,SC,1
Ste-Rose,QC,13
Ste-Therese-de-Blainville,QC,3
Steinenbronn,BW,18
"Stetson Valley",AZ,3
Stetten,3,4
Stockbridge,EDH,59
"Stoney Creek",NC,11
Stouffville,ON,323
Stoughton,WI,666
Stow,OH,1865
Stowe,PA,58
Strabane,PA,2
Straiton,MLN,1
Streetsbor,OH,3
Streetsboro,OH,1050
Streetsville,ON,15
"Strip District",PA,1
Strongsville,OH,3591
Strongville,OH,4
Sturgeon,PA,2
Stuttgart,BW,17153
"Stuttgart - Bad Cannstatt",BW,4
"Stuttgart Bad-Canstatt",BW,3
Stuttgart-Vaihingen,BW,20
Summerlin,NV,513
"Summerlin South",NV,8
"Sun City",AZ,1784
"Sun City Anthem",AZ,6
"Sun City West",AZ,633
"Sun Lakes",AZ,186
"Sun Prairie",WI,2212
Suncity,AZ,2
Sunnyslope,AZ,5
"Superstition Mountain",AZ,3
Suprise,AZ,3
Surprise,AZ,17343
"Surprise Crossing",AZ,4
Swissvale,PA,47
Tallmadge,OH,440
"Tega Cay",SC,413
Tempe,AZ,109499
Terrebonne,QC,45
"The Promenade",AZ,3
Thomasboro,IL,3
"Thorncliffe Park",ON,5
Thornhil,ON,17
Thornhill,ON,4610
Tigre,B,4
Tolleson,AZ,1659
Tolono,IL,5
Tonronto,ON,24
Topaz,NV,8
Tornto,ON,81
Toronto,ON,290755
"Toronto Division",ON,20
"Toronto, Ontario",ON,10
