city,state,category,NumberOfRestaurants
Ahwatukee,AZ,Italian,2
Ajax,ON,"American (New)",1
Ajax,ON,"American (Traditional)",12
Ajax,ON,Cajun/Creole,1
Ajax,ON,"Canadian (New)",7
Ajax,ON,Chinese,10
Ajax,ON,Halal,5
Ajax,ON,Indian,7
Ajax,ON,Italian,10
Ajax,ON,Japanese,5
Ajax,ON,Malaysian,1
Ajax,ON,Mexican,5
Ajax,ON,"Middle Eastern",4
Ajax,ON,Pakistani,5
Ajax,ON,Thai,4
Ajax,ON,Vietnamese,6
Alex,30,French,1
"Allison Park",PA,"American (New)",6
"Allison Park",PA,"American (Traditional)",6
"Allison Park",PA,Chinese,1
"Allison Park",PA,Italian,4
"Allison Park",PA,Japanese,2
"Allison Park",PA,Thai,1
Ambridge,PA,"American (New)",2
Ambridge,PA,"American (Traditional)",6
Ambridge,PA,Greek,2
Ambridge,PA,Italian,2
Amherst,OH,"American (New)",4
Amherst,OH,"American (Traditional)",9
Amherst,OH,Chinese,3
Amherst,OH,Greek,1
Amherst,OH,Italian,3
Amherst,OH,Japanese,1
Amherst,OH,Mexican,4
Anjou,QC,"American (Traditional)",1
Anjou,QC,"Canadian (New)",1
Anjou,QC,French,1
Anjou,QC,Italian,2
Anthem,AZ,"American (New)",2
Anthem,AZ,"American (Traditional)",1
Anthem,AZ,Chinese,1
Anthem,AZ,French,1
Anthem,AZ,Greek,1
Anthem,AZ,Italian,2
Anthem,AZ,Mexican,2
Argos,IN,"American (Traditional)",1
Arnold,PA,Chinese,1
Arnold,PA,Italian,2
Aspinwall,PA,Italian,1
"Auburn Township",OH,Italian,1
"Auburn Twp",OH,"American (New)",1
Aurora,OH,"American (New)",9
Aurora,OH,"American (Traditional)",8
Aurora,OH,Chinese,3
Aurora,OH,Greek,1
Aurora,OH,Indian,2
Aurora,OH,Italian,4
Aurora,OH,Japanese,1
Aurora,OH,Mexican,2
Aurora,OH,Pakistani,1
Aurora,ON,"American (Traditional)",13
Aurora,ON,Cajun/Creole,1
Aurora,ON,"Canadian (New)",10
Aurora,ON,Chinese,10
Aurora,ON,French,1
Aurora,ON,Greek,5
Aurora,ON,Halal,1
Aurora,ON,Indian,1
Aurora,ON,Italian,6
Aurora,ON,Japanese,10
Aurora,ON,Korean,1
Aurora,ON,Malaysian,1
Aurora,ON,Mexican,4
Aurora,ON,"Middle Eastern",4
Aurora,ON,Singaporean,1
Aurora,ON,Thai,4
Aurora,ON,Vietnamese,1
Avalon,PA,Italian,2
Avon,OH,"American (New)",9
Avon,OH,"American (Traditional)",14
Avon,OH,Chinese,3
Avon,OH,French,1
Avon,OH,Halal,1
Avon,OH,Italian,6
Avon,OH,Japanese,1
Avon,OH,Mexican,3
Avon,OH,"Middle Eastern",1
Avon,OH,Turkish,2
"Avon Lake",OH,"American (New)",7
"Avon Lake",OH,"American (Traditional)",11
"Avon Lake",OH,Chinese,5
"Avon Lake",OH,Greek,1
"Avon Lake",OH,Italian,6
"Avon Lake",OH,Mexican,5
"Avon Lake",OH,Thai,1
Avondale,AZ,"American (New)",8
Avondale,AZ,"American (Traditional)",19
Avondale,AZ,Cajun/Creole,1
Avondale,AZ,Chinese,10
Avondale,AZ,Greek,4
Avondale,AZ,Indian,2
Avondale,AZ,Italian,8
Avondale,AZ,Japanese,6
Avondale,AZ,Korean,2
Avondale,AZ,Mexican,40
Avondale,AZ,"Middle Eastern",2
Avondale,AZ,Thai,2
Baie-D'urfe,QC,Italian,1
Bainbridge,OH,"American (Traditional)",2
Bainbridge,OH,Greek,1
Bath,OH,Italian,1
"Bay Village",OH,"American (New)",2
"Bay Village",OH,"American (Traditional)",2
"Bay Village",OH,Cantonese,1
"Bay Village",OH,Chinese,1
"Bay Village",OH,Greek,1
"Bay Village",OH,Italian,4
"Bay Village",OH,Turkish,1
Beachwood,OH,"American (New)",13
Beachwood,OH,"American (Traditional)",8
Beachwood,OH,Chinese,3
Beachwood,OH,French,1
Beachwood,OH,Indian,2
Beachwood,OH,Italian,9
Beachwood,OH,Japanese,4
Beachwood,OH,Mexican,1
Beachwood,OH,"Middle Eastern",1
Beaconsfield,QC,French,1
Beaconsfield,QC,Italian,1
Bedford,OH,"American (New)",3
Bedford,OH,"American (Traditional)",8
Bedford,OH,Chinese,3
Bedford,OH,Greek,1
Bedford,OH,Italian,1
Bedford,OH,Mexican,2
Bedford,OH,Peruvian,1
"Bedford Heights",OH,"American (New)",1
"Bedford Heights",OH,"American (Traditional)",3
"Bedford Heights",OH,Italian,1
Beeton,ON,Italian,1
Belleville,WI,"American (New)",1
Belleville,WI,"American (Traditional)",2
Belleville,WI,Italian,1
Bellevue,PA,"American (New)",1
Bellevue,PA,"American (Traditional)",2
Bellevue,PA,Chinese,3
Bellevue,PA,Italian,1
Bellevue,PA,Thai,3
Bellevue,PA,Turkish,1
Belmont,NC,"American (New)",6
Belmont,NC,"American (Traditional)",8
Belmont,NC,Cantonese,1
Belmont,NC,Chinese,2
Belmont,NC,Italian,5
Belmont,NC,Japanese,1
Belmont,NC,Mexican,2
Beloeil,QC,"Canadian (New)",2
Beloeil,QC,French,2
Beloeil,QC,Italian,1
Beloeil,QC,Thai,1
Berea,OH,"American (New)",10
Berea,OH,"American (Traditional)",8
Berea,OH,Chinese,2
Berea,OH,Greek,1
Berea,OH,Italian,1
Berea,OH,Mexican,4
Berea,OH,Thai,1
Berea,OH,Vietnamese,1
Berg,BW,Italian,1
"Bethel Park",PA,"American (New)",5
"Bethel Park",PA,"American (Traditional)",7
"Bethel Park",PA,Chinese,3
"Bethel Park",PA,Italian,7
"Bethel Park",PA,Japanese,1
"Bethel Park",PA,Mexican,2
"Bethel Park",PA,Thai,1
"Black Earth",WI,"American (Traditional)",2
Blainville,QC,Italian,1
Blainville,QC,Thai,1
Blawnox,PA,Thai,1
Bloomfield,PA,Italian,1
Böblingen,BW,"American (Traditional)",3
Böblingen,BW,Chinese,4
Böblingen,BW,Greek,2
Böblingen,BW,Indian,1
Böblingen,BW,Italian,16
Böblingen,BW,Japanese,2
Böblingen,BW,Mexican,1
Böblingen,BW,Thai,4
Böblingen,BW,Turkish,2
Böblingen,BW,Vietnamese,2
Boisbriand,QC,"American (Traditional)",2
Boisbriand,QC,"Canadian (New)",1
Boisbriand,QC,Italian,5
Boisbriand,QC,Mexican,1
Bolton,ON,"American (Traditional)",2
Bolton,ON,Cajun/Creole,1
Bolton,ON,"Canadian (New)",1
Bolton,ON,Chinese,1
Bolton,ON,Italian,3
Bolton,ON,Japanese,2
Bolton,ON,"Middle Eastern",1
Bolton,ON,Vietnamese,1
"Bonnyrigg and Lasswade",MLN,Italian,1
Boucherville,QC,"American (Traditional)",1
Boucherville,QC,"Canadian (New)",4
Boucherville,QC,French,4
Boucherville,QC,Italian,2
Boucherville,QC,Japanese,1
Boucherville,QC,"Middle Eastern",1
"Boulder City",NV,"American (New)",7
"Boulder City",NV,"American (Traditional)",12
"Boulder City",NV,Chinese,4
"Boulder City",NV,Greek,1
"Boulder City",NV,Italian,5
"Boulder City",NV,Japanese,2
"Boulder City",NV,Mexican,5
"Boulder City",NV,Thai,2
Braddock,PA,"American (New)",2
Braddock,PA,"American (Traditional)",2
Braddock,PA,Italian,1
Bradford,ON,"American (Traditional)",4
Bradford,ON,Cajun/Creole,1
Bradford,ON,"Canadian (New)",4
Bradford,ON,Chinese,1
Bradford,ON,Indian,1
Bradford,ON,Italian,2
Bradford,ON,Japanese,1
Bradford,ON,Mexican,1
Bradford,ON,"Middle Eastern",1
Bradford,ON,Thai,1
Bradford,ON,Vietnamese,1
"Bradford West Gwillimbury",ON,"American (Traditional)",1
"Bradford West Gwillimbury",ON,"Canadian (New)",1
"Bradford West Gwillimbury",ON,Chinese,1
"Bradford West Gwillimbury",ON,Greek,1
"Bradford West Gwillimbury",ON,Indian,1
"Bradford West Gwillimbury",ON,Italian,1
"Bradford West Gwillimbury",ON,Mexican,2
"Bradford West Gwillimbury",ON,Thai,1
Brampton,ON,"American (New)",5
Brampton,ON,"American (Traditional)",39
Brampton,ON,Cajun/Creole,2
Brampton,ON,"Canadian (New)",33
Brampton,ON,Chinese,41
Brampton,ON,French,5
Brampton,ON,Greek,7
Brampton,ON,Halal,13
Brampton,ON,Indian,87
Brampton,ON,Italian,35
Brampton,ON,Japanese,10
Brampton,ON,Mexican,10
Brampton,ON,"Middle Eastern",25
Brampton,ON,Pakistani,18
Brampton,ON,Thai,13
Brampton,ON,Vietnamese,12
Bratenahl,OH,"American (New)",2
Bratenahl,OH,"American (Traditional)",1
Bratenahl,OH,Italian,1
Brecksville,OH,"American (New)",7
Brecksville,OH,"American (Traditional)",7
Brecksville,OH,Chinese,2
Brecksville,OH,French,1
Brecksville,OH,Italian,1
Brecksville,OH,Japanese,1
Brecksville,OH,Mexican,2
Brecksville,OH,Thai,1
Brentwood,PA,"American (New)",1
Brentwood,PA,"American (Traditional)",1
Brentwood,PA,Chinese,1
Bridgeville,PA,"American (New)",7
Bridgeville,PA,"American (Traditional)",16
Bridgeville,PA,Chinese,4
Bridgeville,PA,Greek,1
Bridgeville,PA,Italian,8
Bridgeville,PA,Japanese,1
Bridgeville,PA,Mexican,5
Bridgeville,PA,"Middle Eastern",1
"Broadview Heights",OH,"American (New)",4
"Broadview Heights",OH,"American (Traditional)",8
"Broadview Heights",OH,Chinese,2
"Broadview Heights",OH,Greek,2
"Broadview Heights",OH,Italian,6
"Broadview Heights",OH,Japanese,1
"Broadview Heights",OH,Mexican,2
"Brook Park",OH,"American (New)",1
"Brook Park",OH,"American (Traditional)",5
"Brook Park",OH,Chinese,1
"Brook Park",OH,Italian,4
"Brook Park",OH,Mexican,2
Brooklin,ON,"American (Traditional)",1
Brooklin,ON,"Canadian (New)",1
Brooklin,ON,Chinese,1
Brookline,PA,Italian,1
Brooklyn,OH,"American (New)",4
Brooklyn,OH,"American (Traditional)",8
Brooklyn,OH,Cajun/Creole,1
Brooklyn,OH,Cantonese,1
Brooklyn,OH,Chinese,2
Brooklyn,OH,Italian,4
Brooklyn,OH,Japanese,1
Brooklyn,OH,Mexican,3
Brooklyn,WI,"American (New)",1
Brooklyn,WI,"American (Traditional)",1
Brooklyn,WI,Italian,1
Brookpark,OH,Mexican,1
Brossard,QC,"American (New)",1
Brossard,QC,"American (Traditional)",1
Brossard,QC,"Canadian (New)",8
Brossard,QC,Cantonese,1
Brossard,QC,Chinese,13
Brossard,QC,French,9
Brossard,QC,Greek,2
Brossard,QC,Indian,3
Brossard,QC,Italian,9
Brossard,QC,Japanese,7
Brossard,QC,Korean,3
Brossard,QC,Mexican,2
Brossard,QC,"Middle Eastern",4
Brossard,QC,Pakistani,1
Brossard,QC,Thai,3
Brossard,QC,Vietnamese,10
Brunswick,OH,"American (New)",6
Brunswick,OH,"American (Traditional)",12
Brunswick,OH,Chinese,5
Brunswick,OH,Greek,2
Brunswick,OH,Italian,6
Brunswick,OH,Mexican,7
Brunswick,OH,Thai,2
Burton,OH,"American (New)",3
Burton,OH,"American (Traditional)",3
Caledon,ON,"American (Traditional)",2
Caledon,ON,"Canadian (New)",2
Caledon,ON,Italian,5
Caledon,ON,Japanese,1
Caledon,ON,"Middle Eastern",1
Caledon,ON,Thai,1
Candiac,QC,"Canadian (New)",1
Candiac,QC,French,1
Canonsburg,PA,"American (New)",6
Canonsburg,PA,"American (Traditional)",13
Canonsburg,PA,Cajun/Creole,1
Canonsburg,PA,Chinese,8
Canonsburg,PA,Greek,1
Canonsburg,PA,Indian,1
Canonsburg,PA,Italian,7
Canonsburg,PA,Japanese,4
Canonsburg,PA,Mexican,5
Canonsburg,PA,"Middle Eastern",1
Carefree,AZ,"American (New)",10
Carefree,AZ,"American (Traditional)",5
Carefree,AZ,Chinese,1
Carefree,AZ,French,1
Carefree,AZ,Greek,2
Carefree,AZ,Italian,4
Carefree,AZ,Korean,1
Carefree,AZ,Mexican,1
Carnegie,PA,"American (New)",2
Carnegie,PA,"American (Traditional)",6
Carnegie,PA,Chinese,1
Carnegie,PA,Indian,1
Carnegie,PA,Italian,5
Carnegie,PA,Japanese,1
"Cave Creek",AZ,"American (New)",11
"Cave Creek",AZ,"American (Traditional)",20
"Cave Creek",AZ,Chinese,1
"Cave Creek",AZ,French,1
"Cave Creek",AZ,Greek,1
"Cave Creek",AZ,Indian,1
"Cave Creek",AZ,Italian,9
"Cave Creek",AZ,Japanese,4
"Cave Creek",AZ,Mexican,10
"Cave Creek",AZ,Thai,2
Cecil,PA,"American (New)",1
Cecil,PA,Italian,1
Cecil,PA,Korean,1
Cecil,PA,Thai,1
"Centre Island",ON,"American (Traditional)",1
"Chagrin Falls",OH,"American (New)",15
"Chagrin Falls",OH,"American (Traditional)",11
"Chagrin Falls",OH,Chinese,2
"Chagrin Falls",OH,French,1
"Chagrin Falls",OH,Italian,6
"Chagrin Falls",OH,Mexican,2
"Chagrin Falls",OH,"Middle Eastern",1
"Chagrin Falls",OH,Thai,2
Chambly,QC,French,2
Chambly,QC,Thai,1
Champaign,IL,"American (New)",31
Champaign,IL,"American (Traditional)",50
Champaign,IL,Cajun/Creole,3
Champaign,IL,Chinese,35
Champaign,IL,French,2
Champaign,IL,Greek,6
Champaign,IL,Indian,12
Champaign,IL,Italian,26
Champaign,IL,Japanese,16
Champaign,IL,Korean,15
Champaign,IL,Malaysian,1
Champaign,IL,Mexican,39
Champaign,IL,"Middle Eastern",4
Champaign,IL,Pakistani,3
Champaign,IL,Thai,12
Champaign,IL,Turkish,2
Champaign,IL,Vietnamese,2
Chandler,AZ,"American (New)",80
Chandler,AZ,"American (Traditional)",104
Chandler,AZ,Cajun/Creole,5
Chandler,AZ,Chinese,72
Chandler,AZ,Cuban,1
Chandler,AZ,French,6
Chandler,AZ,Greek,17
Chandler,AZ,Halal,9
Chandler,AZ,Indian,28
Chandler,AZ,Italian,48
Chandler,AZ,Japanese,33
Chandler,AZ,Korean,11
Chandler,AZ,Mexican,98
Chandler,AZ,"Middle Eastern",7
Chandler,AZ,Pakistani,6
Chandler,AZ,Peruvian,2
Chandler,AZ,Thai,21
Chandler,AZ,Turkish,3
Chandler,AZ,Vietnamese,19
Chardon,OH,"American (New)",4
Chardon,OH,"American (Traditional)",6
Chardon,OH,Chinese,2
Chardon,OH,Italian,2
Chardon,OH,Mexican,2
Charlotte,NC,"American (New)",320
Charlotte,NC,"American (Traditional)",400
Charlotte,NC,Cajun/Creole,22
Charlotte,NC,Cantonese,1
Charlotte,NC,Chinese,152
Charlotte,NC,Cuban,9
Charlotte,NC,Ethiopian,7
Charlotte,NC,French,20
Charlotte,NC,Greek,56
Charlotte,NC,Halal,17
Charlotte,NC,Indian,45
Charlotte,NC,Italian,144
Charlotte,NC,Japanese,83
Charlotte,NC,Korean,17
Charlotte,NC,Malaysian,1
Charlotte,NC,Mexican,200
Charlotte,NC,"Middle Eastern",19
Charlotte,NC,Pakistani,14
Charlotte,NC,Peruvian,12
Charlotte,NC,Thai,30
Charlotte,NC,Turkish,4
Charlotte,NC,Vietnamese,42
Chatauguay,QC,Indian,1
Châteauguay,QC,"American (Traditional)",1
Chateauguay,QC,"Canadian (New)",1
Chateauguay,QC,Chinese,1
Chateauguay,QC,Greek,1
Chateauguay,QC,Indian,1
Chateauguay,QC,Italian,3
Chateauguay,QC,Japanese,1
Châteauguay,QC,Mexican,1
Châteauguay,QC,Thai,3
Chateauguay,QC,Vietnamese,1
Chertsey,QC,"American (Traditional)",1
Chester,CHE,"American (Traditional)",3
Chester,CHE,Chinese,4
Chester,CHE,Greek,3
Chester,CHE,Indian,8
Chester,CHE,Italian,5
Chester,CHE,Japanese,1
Chester,CHE,Pakistani,4
Chester,CHE,Thai,1
"Chester Township",OH,Indian,1
"Chester Township",OH,"Middle Eastern",1
"Chester Township",OH,Pakistani,1
Chesterland,OH,"American (Traditional)",4
Chesterland,OH,Chinese,2
Chesterland,OH,Indian,1
Chesterland,OH,Italian,4
Chesterland,OH,Mexican,2
Chesterland,OH,Thai,2
Chesterland,OH,Vietnamese,1
Cheswick,PA,"American (New)",2
Cheswick,PA,"American (Traditional)",2
Cheswick,PA,Indian,1
Cheswick,PA,Italian,1
Clairton,PA,"American (New)",1
Clairton,PA,"American (Traditional)",2
Clairton,PA,Chinese,1
Clairton,PA,Italian,3
Clark,NV,"American (Traditional)",1
Cleveland,OH,"American (New)",182
Cleveland,OH,"American (Traditional)",226
Cleveland,OH,Cajun/Creole,9
Cleveland,OH,Cantonese,5
Cleveland,OH,Chinese,94
Cleveland,OH,Cuban,3
Cleveland,OH,Ethiopian,1
Cleveland,OH,French,11
Cleveland,OH,Greek,14
Cleveland,OH,Halal,9
Cleveland,OH,Indian,14
Cleveland,OH,Italian,90
Cleveland,OH,Japanese,31
Cleveland,OH,Korean,7
Cleveland,OH,Mexican,65
Cleveland,OH,"Middle Eastern",32
Cleveland,OH,Pakistani,2
Cleveland,OH,Thai,16
Cleveland,OH,Turkish,3
Cleveland,OH,Vietnamese,13
"Cleveland Heights",OH,"American (New)",10
